"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"sla-miR-10a_st",-0.762411764705883,7.45296296296296,-5.86111257600495,2.5239896323431e-06,0.036730117463553,4.5065758168819
"bta-miR-885_st",0.957294117647058,2.73074074074074,5.39518199434136,9.02460947557112e-06,0.036730117463553,3.4068435657635
"rno-miR-10a-5p_st",-0.739882352941176,7.32814814814815,-5.31168689272476,1.1350829245447e-05,0.036730117463553,3.2079972206505
"eca-miR-196b_st",-1.52788235294118,4.97,-5.22913082586938,1.42426451712886e-05,0.036730117463553,3.01098121479718
"xtr-miR-10a_st",-0.737352941176471,7.35074074074074,-5.22741500956782,1.43100086349711e-05,0.036730117463553,3.00688260234534
"spu-miR-10_st",-0.702941176470586,7.30740740740741,-5.19752729499675,1.55360171849786e-05,0.036730117463553,2.93546534892233
"eca-miR-10a_st",-0.668470588235293,7.30111111111111,-5.19711081713549,1.55538252039687e-05,0.036730117463553,2.93446985675824
"ptr-miR-10a_st",-0.727764705882351,7.30777777777778,-5.19066336453346,1.58321342680357e-05,0.036730117463553,2.91905767907909
"mmu-miR-215_st",-0.964647058823529,2.24962962962963,-5.18762554318491,1.59649887555287e-05,0.036730117463553,2.91179529617818
"sko-miR-10_st",-0.710588235294114,7.26259259259259,-5.13671278968394,1.83654503111446e-05,0.0380275014142561,2.79001779697032
"ppa-miR-10a_st",-0.731000000000001,7.29074074074074,-5.06980336515287,2.20785129018994e-05,0.0389430774047873,2.6298145241538
"ppy-miR-196b_st",-1.37876470588235,4.90888888888889,-5.01276696334854,2.58314811758095e-05,0.0389430774047873,2.49312555314555
"age-miR-10a_st",-0.74564705882353,7.26851851851852,-4.98960665236207,2.75318552734249e-05,0.0389430774047873,2.43759346242997
"bfl-miR-10a_st",-0.676235294117646,7.27222222222222,-4.9710755242904,2.89726197730416e-05,0.0389430774047873,2.39315068804402
"mdo-miR-10a_st",-0.664411764705885,7.42666666666667,-4.96035244204905,2.98404996136127e-05,0.0389430774047873,2.36742993637316
"rno-miR-196b_st",-1.39488235294117,5.03074074074074,-4.93762950647006,3.17664241097088e-05,0.0389430774047873,2.31291738998936
"cel-miR-228_st",-0.755058823529412,1.58259259259259,-4.92929007925209,3.25039919775817e-05,0.0389430774047873,2.29290831915611
"mml-miR-10a_st",-0.60929411764706,7.36037037037037,-4.89911763355867,3.53183884673867e-05,0.0389430774047873,2.22050379503075
"mml-miR-196b_st",-1.55270588235294,4.97037037037037,-4.89486163449462,3.57344958316893e-05,0.0389430774047873,2.21028948184433
"U23_st",-0.871235294117646,1.36444444444444,-4.8323812957861,4.24378393188406e-05,0.0439358950467957,2.0603107842405
"bta-miR-10a_st",-0.666470588235294,7.29037037037037,-4.78787603234255,4.79646802915651e-05,0.0472931747674832,1.95345940036945
"cfa-miR-362_st",-0.619058823529413,6.12222222222222,-4.75247316459246,5.28691881631926e-05,0.0477056509367178,1.86845789132594
"bta-miR-196b_st",-1.54917647058824,4.73259259259259,-4.74645273597415,5.37516040030128e-05,0.0477056509367178,1.85400308783094
"ppy-miR-147b_st",-1.78852941176471,3.48888888888889,-4.73615439354679,5.52951918212412e-05,0.0477056509367178,1.82927744862632
"mmu-miR-196b_st",-1.52358823529412,4.8937037037037,-4.72130608589422,5.75988251433375e-05,0.0477056509367178,1.79362847213011
"mmu-miR-10a_st",-0.66464705882353,7.26851851851852,-4.67043264312494,6.62408029831099e-05,0.0527531564064721,1.67150044964315
"bta-miR-147_st",-1.90952941176471,3.6437037037037,-4.62145734511149,7.57766830670288e-05,0.0581122962809592,1.55396036507026
"hsa-miR-10a_st",-0.586764705882351,7.37555555555556,-4.55637529169923,9.05918393523721e-05,0.0662878099122212,1.39783916595035
"hsa-miR-10b_st",-1.18123529411765,6.09925925925926,-4.53257456803749,9.67006249826697e-05,0.0662878099122212,1.34077318062533
"dse-miR-92a_st",-0.392764705882351,9.3937037037037,-4.51910368226223,0.000100337650400417,0.0662878099122212,1.30848247406112
"ggo-miR-10a_st",-0.605882352941177,7.35851851851852,-4.51756668859059,0.000100761164354004,0.0662878099122212,1.30479856949309
"hsa-miR-151-5p_st",-0.346411764705879,9.75888888888889,-4.51152139944821,0.000102444215067665,0.0662878099122212,1.29030985382365
"ggo-miR-100_st",0.58017647058823,8.5962962962963,4.48007714849677,0.00011165906735868,0.070060989355419,1.2149688199141
"dpu-miR-8_st",-0.591823529411765,1.65037037037037,-4.45168754056745,0.000120682831371552,0.0709977234900277,1.14698010799338
"ame-miR-125_st",0.853764705882355,8.59555555555556,4.45082417842035,0.000120968302065912,0.0709977234900277,1.14491302259118
"bta-miR-2425-star_st",0.612823529411765,3.03185185185185,4.44343667631608,0.000123438522439921,0.0709977234900277,1.12722700363664
